activity_group_code,region,district,community,ngo,hazard,activities,number_of_activities_or_unites,beneficiaries_per_activity,budget__usd,brcis_output,_2014_quarter_3,_2014_quarter_4,_2015_quarter_1,_2015_quarter_2,_2015_quarter_3,_2015_quarter_4,_2016,_2017,created_at,updated_at,the_geom,cartodb_id
54,GEDO,DOLOW,SUR-GUDUD,NRC,DROUGHT,Restocking,700,70,45000,4,,X,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,348
65,MUDUG,HOBYO,HOBYO TOWN,IRC,DROUGHT,Profitable Shared Community Assets,1,1800,40000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,687
40,HIRAN,MATABAN,QULALE,SCI,DROUGHT,Formation and training VSLs,2,10,1500,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,826
20,GEDO,DOLOW,KAPASA,NRC,DROUGHT,Establishing distribution system,1,2000,7500,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,879
42,GEDO,ELWAK,TUULO GARAS,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,,X,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,1021
5,BANADIR,DHARKENLEY ,SACID RORAYE,NRC,FLOOD,Construction of latrines,30,30,22500,2,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,1101
62,GEDO,ELWAK,DHAMASA,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,82
15,BANADIR,HODAN,AHMED GUREY,SCI,FLOOD,Cash grant for Income Generating Activities (IGA),1,50,35000.25,4,,,,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,1219
62,L.SHABELLE,AWDAGHLE,AWDAGHLE TOWN,CWW,DROUGHT,Tree planting,50,50,1500,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,87
54,GEDO,ELWAK,MERI,CWW,DROUGHT,Restocking of pastoralist households,40,40,24000,4,,,,X,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,344
40,HIRAN,MATABAN,SALAH SALID,SCI,DROUGHT,Formation and training VSLs,2,10,2000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,825
46,HIRAN,BELETWEYNE,DUSMO,SCI,DROUGHT,Climate change hearing,1,121,3000,1,,,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,1188
54,HIRAN,BELETWEYNE,DHAYWABAR,CESVI,DROUGHT,Restocking,300 goats,30,12000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,366
38,GEDO,DOLOW,SUR-GUDUD,NRC,HAZARDS,Pilot bee keeping for youth group,1,10,25000,4,,,X,X,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,736
14,GEDO,ELWAK,ELWAK TOWN,CWW,DROUGHT,Road rehabilation through cash for work (KM),3.5,14,3500,4,,,,,,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,324
20,GEDO,DOLOW,GEEDWEINE,NRC,DROUGHT,Rehabilitation distribution system,1,2000,7500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,430
21,MUDUG,HOBYO,LABAD,IRC,DROUGHT,Re/Construction of Community Meeting Places,1,130,6150,4,,,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,491
35,BAY,BAIDOA,BONKAI,NRC,FLOOD,Distribution soaps,3,300,900,3,,,X,,,,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,964
19,HIRAN,MATABAN,QULALE,SCI,DROUGHT,Constraction of 2 new berkets,1,100,26000,2,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,1123
43,HIRAN,BELETWEYNE,BELETWEYNE TOWN,SCI,FLOOD,Community early warning system,1,858,6000,1,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,1175
38,BAY,BAIDOA,HAWL WADAAG,NRC,DROUGHT,Training on GAPs,3,50,3300,4,,,X,,,,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,172
18,GEDO,DOLOW,KAPASA,NRC,HAZARDS,Training on IGAs,3,20,1500,4,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,163
33,HIRAN,BELETWEYNE,BASLAWE,SCI,FLOOD,Provision of irrigation motor pumps,2,50,4500,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,531
13,BAY,BAIDOA,BERDAALE,NRC,DROUGHT,Unconditional Cash Distribution,9,50,31500,4,X,X,,X,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,67
38,GEDO,DOLOW,GEEDWEINE,NRC,DROUGHT,Training on GAPs,3,100,3300,4,,,X,,,,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,173
56,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,200,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,2
56,MUDUG,HOBYO,XAARO,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,150,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,3
56,MUDUG,HOBYO,WISIL,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,350,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,4
56,MUDUG,GALKACYO,WARGALO,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,400,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,5
56,MUDUG,GALKACYO,HOWL WADAAG,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,300,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,6
56,HIRAN,BELETWEYNE,GARASH,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,80,1500,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,7
56,MUDUG,GALKACYO,GALINSOOR,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,400,3000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,8
56,MUDUG,GALKACYO,DOCOL,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,400,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,9
56,MUDUG,GALKACYO,DHUURE,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,200,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,10
56,HIRAN,BELETWEYNE,DHAYWABAR,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,40,1500,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,11
56,HIRAN,BELETWEYNE,BUULO YAKUB,CESVI,CONFLICT,Workshop on peace building activities,4 seesions,280,2000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,12
56,MUDUG,GALKACYO,BANDIIRADLEY,CESVI,CONFLICT,Workshop on peace building activities,4 sessions,400,4000,1,,X,,,,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,13
40,MUDUG,HOBYO,LABAD,IRC,DROUGHT,Women's savings and livelihoods groups,3,45,12201.48854,4,,,,,X,X,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,14
