activity_group_code,region,district,community,ngo,hazard,activities,number_of_activities_or_unites,beneficiaries_per_activity,budget__usd,brics_output,_2014_quarter_3,_2014_quarter_4,_2015_quarter_1,_2015_quarter_2,_2015_quarter_3,_2015_quarter_4,_2016,_2017,district_id
1,MUDUG,HOBYO,HOBYO TOWN,IRC,DROUGHT,Pastoralist Training and Field Schools,3,45,18224,4,f,f,f,f,t,t,t,t,1803
1,MUDUG,HOBYO,BAJELA,IRC,DROUGHT,Pastoralist Training and Field Schools,3,45,18224,4,f,f,f,f,t,t,t,t,1803
2,MUDUG,HOBYO,WISIL,CESVI,DROUGHT,Animal treatment,1200 Animals,80,3000,4,f,f,f,f,f,f,t,f,1803
2,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,DROUGHT,Animal treatment,300 Animals,30,1000,4,f,f,f,f,f,f,t,f,1803
2,MUDUG,HOBYO,XAARO,CESVI,DROUGHT,Animal treatment,400 Animals,40,1100,4,f,f,f,f,f,f,t,f,1803
13,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,DROUGHT,Distribution of Unconditional Cash  ,9,100,63000,4,t,t,f,t,f,t,t,t,2801
13,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,DROUGHT,Distribution of Unconditional Cash  ,9,100,63000,4,t,t,f,t,f,t,t,t,2801
35,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2801
35,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2801
43,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2801
43,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2801
19,GEDO,DOOLOW,KAPASA,NRC,DROUGHT,Construction of surface masonary tanks,1,30,7000,2,f,f,t,t,f,f,f,f,2605
20,GEDO,DOOLOW,GEEDWEINE,NRC,DROUGHT,Rehabilitation distribution system,1,2000,7500,4,f,f,t,f,f,f,f,f,2605
35,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2302
19,GEDO,LUUQ,JAZEERA (ALL),NRC,DROUGHT,Construction of surface masonary tanks,1,286,7000,2,f,f,t,t,f,f,f,f,2606
19,GEDO,LUUQ,AL-CADAALA (Only),NRC,DROUGHT,Construction of surface masonary tanks,1,300,7000,2,f,f,t,t,f,f,f,f,2606
3,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,HAZARDS,Conduct Hygiene and sanitations Promotion campaigns throgh IEC & SMS messages,3,5200,2013,2,f,t,t,t,t,t,t,t,2212
3,BANADIR,DEYNILE,KUR DAMAC,SCI,DROUGHT,Conduct Hygiene and sanitation promotion campaigns,3,12000,2013,2,f,t,t,t,t,t,t,t,2216
18,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,HAZARDS,Training on IGAs ,3,20,1500,4,f,t,t,f,f,f,f,f,2801
3,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,395,21560,2,f,t,t,t,t,t,t,t,2205
18,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,HAZARDS,Training on IGAs ,3,20,1500,4,f,t,t,f,f,f,f,f,2801
3,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,900,21560,2,f,t,t,t,t,t,t,t,2208
18,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,HAZARDS,Training on IGAs,3,20,1500,4,f,t,t,f,f,f,f,f,2801
19,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,DROUGHT,Construction of surface masonary tanks,1,286,7000,2,f,f,t,t,t,f,f,f,2801
19,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,DROUGHT,Construction of surface masonary tanks,1,300,7000,2,f,f,t,t,t,f,f,f,2801
19,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,DROUGHT,Construction of surface masonary tanks,1,300,7000,2,f,f,t,t,t,f,f,f,2801
42,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2302
42,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,DROUGHT,Disaster Management Committees establish and train,1,12,1192,1,f,t,t,f,t,f,t,f,2302
43,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,FLOOD,Establish Early Warning System that leads to early action,1,1443,653,1,f,t,f,t,f,t,t,f,2302
43,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,FLOOD,Establish Early Warning System that leads to early action,1,512,653,1,f,t,f,t,f,t,t,f,2302
50,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,DISEASE,CHWs - Recruit; train; incentivise,3,3,5760,2,t,t,t,t,t,t,t,f,2302
18,BAY,BAYDHABA,BERDAALE,NRC,HAZARDS,Training on IGAs ,3,20,1500,4,f,t,t,f,f,f,f,f,2401
20,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,FLOOD,Rehabilitate canals (km),30,150,18000,4,f,f,t,f,t,f,t,f,2302
21,MUDUG,GAALKACYO,BITALE,IRC,DROUGHT,Re/Construction of Community Meeting Places,1,400,6150,4,f,f,f,t,f,f,f,f,1801
21,MUDUG,GAALKACYO,BANDARQAALI,IRC,DROUGHT,Re/Construction of Community Meeting Places,1,600,6150,4,f,f,f,t,f,f,f,f,1801
23,MUDUG,GAALKACYO,HOWL WADAAG,CESVI,DROUGHT,Rehabilitation of houses,60 Houses,60,30000,3,f,f,f,f,f,f,t,f,1801
20,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,DROUGHT,Establishing distribution system,1,2000,7500,4,f,f,f,t,t,t,f,f,2801
21,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,CONFLICT,Construction of Community Centre/market,1,300,50000,4,f,f,f,f,f,f,t,f,2801
21,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,CONFLICT,Construction of Community Centre/market,1,300,50000,4,f,f,f,f,f,f,t,f,2801
23,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,CONFLICT,Rehabilitation of shelters,100,100,50000,3,f,t,t,f,f,f,f,f,2801
23,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,CONFLICT,Rehabilitation of shelters,100,100,50000,3,f,t,t,f,f,f,f,f,2801
23,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,CONFLICT,Rehabilitation of shelters,100,100,50000,3,f,t,t,f,f,f,f,f,2801
23,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,CONFLICT,Construction of transition/semi permernent shelter                              ,100,100,100000,3,f,t,t,f,f,f,f,f,2801
23,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,CONFLICT,Construction of transition/semi permernent shelter                              ,100,100,100000,3,f,t,t,f,f,f,f,f,2801
3,BANADIR,BANADIR,AHMED GUREY,SCI,DISEASE OUTBREAK,Conduct Hygiene and sanitations Promotion campaigns throgh IEC & radio messages,3,5000,2013,2,f,t,t,t,t,t,t,t,
5,BANADIR,BANADIR,HALANE,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,
3,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,2300,1680,2,f,t,t,t,t,t,t,t,2308
3,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,150,1680,2,f,t,t,t,t,t,t,t,2308
3,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,225,1680,2,f,t,t,t,t,t,t,t,2308
3,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,310,1680,2,f,t,t,t,t,t,t,t,2308
5,BANADIR,BANADIR,SACID RORAYE,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,
3,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,300,1680,2,f,t,t,t,t,t,t,t,2308
3,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,450,1680,2,f,t,t,t,t,t,t,t,2308
3,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,DISEASE,Carry out Hygiene Promotion at household and community level,1,1500,1680,2,f,t,t,t,t,t,t,t,2308
5,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,DISEASE,Latrine construction,40,40,10000,2,f,f,t,f,f,f,t,f,2308
5,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DISEASE,Latrine construction CLTS,30,30,2400,2,f,f,f,f,t,f,t,f,2308
5,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DISEASE,Latrine construction,20,20,5000,2,f,f,t,f,f,f,t,f,2308
5,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,DISEASE,Latrine construction,40,40,10000,2,f,f,t,f,f,f,t,f,2308
43,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,HAZARDS,Training the CBDMCs on DRR/EWS,3,10,1500,1,f,t,t,f,f,f,t,f,2801
43,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2801
43,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2801
5,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,DISEASE,Latrine rehabilitation,90,90,4500,2,f,f,t,f,t,f,t,t,2205
43,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,HAZARDS,Support CBDMCs to receive; prepare and disseminate EW messages,4,10,1800,1,f,f,t,f,t,f,t,t,2801
47,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,CONFLICT,Provide Housing; Land and Property legal advocacy,1,50,2500,1,f,t,t,f,f,f,f,f,2801
3,GEDO,DOOLOW,KAPASA,NRC,HAZARDS,Recruiting and Training hygiene promoters                   ,1,1,3000,2,f,t,t,t,t,t,t,t,2605
5,GEDO,DOOLOW,KAPASA,NRC,FLOOD,Construction of latrines                ,30,30,22500,2,f,f,t,t,f,f,f,f,2605
23,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,CONFLICT,Construction of transition/semi permernent shelter,100,100,100000,3,f,t,t,f,f,f,f,f,2801
25,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,701,7500,4,f,f,f,f,t,f,f,f,2302
50,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,DISEASE,CHWs - Recruit; train; incentivise,3,3,5760,2,t,t,t,t,t,t,t,f,2302
20,BAY,BAYDHABA,BONKAI,NRC,DROUGHT,Establishing distribution system,1,300,7500,4,f,f,t,t,f,f,f,f,2401
62,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,DROUGHT,Tree planting,50,50,1500,4,f,f,f,f,f,t,f,f,2302
33,BAY,BAYDHABA,BERDAALE,NRC,DROUGHT,Provisionof tractor plough hours,300,50,13500,4,f,f,t,f,t,f,t,f,2401
29,GEDO,BELET XAAWO,MALKARIYEY,CWW,DROUGHT,Develop and implement Operational Maintenance Plan for each water source,1,390,540,2,f,f,t,f,f,f,t,t,2603
29,GEDO,BELET XAAWO,HAROODI,CWW,DROUGHT,Develop and implement Operational Maintenance Plan for each water source,1,300,540,2,f,f,t,f,f,f,t,t,2603
