district_name,district_alt,district_id,region_name,region_id
AW DHEEGLE,AWDAGHLE,2308,SHABELLE HOOSE,23
ADAN YABAAL,AADAN,2102,SHABELLE DHEXE,21
ADAN YABAAL,ADEN YABAL,2102,SHABELLE DHEXE,21
AFGOOYE,AFGOI,2302,SHABELLE HOOSE,23
AFGOOYE,AFGOYE,2302,SHABELLE HOOSE,23
BAARDHEERE,BAAR-DHEERE,2602,GEDO,26
BAARDHEERE,BARDERA,2602,GEDO,26
BADHAADHE,BADHADHE,2803,JUBA HOOSE,28
BALCAD,BALAD,2103,SHABELLE DHEXE,21
BANADIR,BOONDHEERE,22,BANADIR,22
BANADIR,CABDULCASIIS,22,BANADIR,22
BANADIR,DAYNIILE,22,BANADIR,22
BANADIR,DHARKENLEY,22,BANADIR,22
BANADIR,HAWL WADAAG,22,BANADIR,22
BANADIR,HELIWAA,22,BANADIR,22
BANADIR,HODAN,22,BANADIR,22
BANADIR,KAARAAN,22,BANADIR,22
BANADIR,SHANGAANI,22,BANADIR,22
BANADIR,SHIBIS,22,BANADIR,22
BANADIR,WAABERI,22,BANADIR,22
BANADIR,WADAJIR,22,BANADIR,22
BANADIR,WARDHIIGLEEY,22,BANADIR,22
BANADIR,XAMAR JABJAB,22,BANADIR,22
BANADIR,XAMAR WEYNE,22,BANADIR,22
BANADIR,YAAQSHIID,22,BANADIR,22
BANDARBEYLA,BANDAR BEYLA,1602,BARI,16
BANDARBEYLA,BANDER-BEYLA,1602,BARI,16
BANDARBEYLA,BENDERBELA,1602,BARI,16
BARAAWE,BARAWE,2303,SHABELLE HOOSE,23
BAYDHABA,BAIDOA,2401,BAY,24
BAYDHABA,BAYDHABA II,2401,BAY,24
BAYDHABA,BAYDHABO,2401,BAY,24
BELET WEYNE,BELED WEYNE,2001,HIRAAN,20
BELET WEYNE,BELEDWEYNE,2001,HIRAAN,20
BELET WEYNE,BELET WEYNE,2001,HIRAAN,20
BELET WEYNE,BELETWEYNE,2001,HIRAAN,20
BELET XAAWO,BELEDXAAWO,2603,GEDO,26
