Name of Partner,Amendment,Sector/unit of LOA,LoA #,Activity,Detailed Info,Project Code,Duration-from,Duration-To,Territory,Region,District,No HH/beneficiaries,Total LOA amount,Original Amount,Amended amount,CFW/voucher amount,1st instalment $,1st instalment status,2nd instalment $,2nd instalment status,3rd instalment $,3rd instalment status,4th instalment $,4th instalment status,Total all instalments,CPF Output 1,CPF Output 2,CPF Output 3,CPF Output 4,Reports due midterm 1,Report Status  midterm 1,Reports due midterm 2,Report Status  midterm 2,Report final,Report final status,Final Fin,Final report finished status,Days worked on
MOA Puntland,Primary,Agric,56,"Demoplot, Monitoring on ASAL and Marketing survay",,,1-May-13,31-Oct-13,Puntland,Bari,Bossaso,,"26,180.00",,,,"7,854.00",,"13,090.00",,"5,236.00",,,,"26,180.00",,,,,,,,,,,,,
MOL Puntland,Primary,Livestock/Emergency,50,PPR & SGP Vaccination & treatment,,,2-May-13,24-Jul-13,Puntland,Puntland,All regions,"2,000,000 Vaccines 600,000 treatment ","446,020.00",,,,"133,806.00",paid,"223,010.00",p,"89,204.00",,,,"446,020.00",,,,,,,,,,,,,
MOL Somaliland,Primary,Livestock/Emergency,51,PPR & SGP Vaccination & treatment,,,2-May-13,24-Jul-13,Somaliland,Somaliland,All regions,"2,000,000 Vaccines 600,000 treatment ","446,020.00",,,,"133,806.00",,"223,010.00",,"89,204.00",,,,"446,020.00",,,,,,,,,,,,,
SOWELPA,Primary,Livestock/Emergency,52,PPR & SGP Vaccination & treatment,,,2-May-13,24-Jul-13,South Central,"Gedo, Bay, Bakool, Lshabelle, M&L Juba",All districts,"3,850,000 animals ","819,400.00",,,,"245,820.00",30-Apr-13,"409,700.00",27-Jun-13,"163,880.00",22-Aug-13,,,"819,400.00",,,,,,,,,,,,,
BENALPA,Primary,Livestock/Emergency,53,PPR & SGP Vaccination & treatment,,,2-May-13,24-Jul-13,South Central,Benadir,All districts,"300,000 Vaccines 250,000 treatment ","151,096.00",,,,"45,329.00",paid,"75,548.00",11-Jun-13,"30,219.00",paid,,,"151,096.00",,,,,,,,,,,,,
CERELPA,Primary,Livestock/Emergency,54,PPR & SGP Vaccination & treatment,,,2-May-13,24-Jul-13,South Central,"Hiraan, M Shabelle, S Mudug, Gagalduud ",All districts,"3,850,000 animals ","816,400.00",,,,"244,920.00",paid,"408,200.00",paid,"163,280.00",paid,,,"816,400.00",,,,,,,,,,,,,
RAAS,Primary,Agric,63,Baseline Survey/ Value chain analysis for Fodder/selected crop ,,OSRO/RAF/114/IFA,8-May-13,31-Jul-13,South Central,"Hiraan, Gedo","Belet Weyne, Dollow",n/a,"21,115.00",,,,"6,335.00",,"10,558.00",22-Aug-13,"4,222.00",5-Mar-14,,,"21,115.00",,,,,,,,,,,,,
CAFDARO,Primary,FSNAU,66,Nutrition assessment_FSNAU,,GCP/SOM/501/MUL,16-May-13,30-Jun-13,South Central,GEDO,GEDO,Gedo,"32,970.00",,,,"9,861.00",,"16,485.00",,"6,594.00",,,,"32,940.00",,,,,,,,,,,,,
EPHCO,Primary,FSNAU,65,Nutrition assessment_FSNAU,,GCP/SOM/501/MUL,25-May-13,30-Jun-13,South Central,Bakool,Bakool,Bakool Pastoral,"18,320.00",,,,"5,496.00",,"9,160.00",,"3,664.00",,,,"18,320.00",,,,,,,,,,,,,
CEDA,Primary,Agric,36,"Adaptive research of Sorghum, Maize & fodder crop","Jab Planter, Animal-drawn seeders for Sorghum, Maize &  7 fodder crops","OSRO/SOM/301/MUL,",1-Jun-13,1-Jun-14,South Central,Gedo,"Dollow, Belet Xaawo","10 hh Sorghum, 15 hh Maize &  35 hh fodder crops","53,451.00",,,,"8,018.00",paid,"10,690.00",,"18,708.00",,"16,035.00",,"53,451.00",,,,,,,,,,,,,
