region_name,region_alt,region_id
BANADIR,BANAADIR,12
GALGADUUD,GALGADUD,13
HIRAAN,HIIRAAN,15
HIRAAN,HIRAN,17
JUBA DHEXE,JUBBADA DHEXE,21
JUBA HOOSE,JUBBADA HOOSE,21
SHABELLE HOOSE,L SHABELLE,27
JUBA HOOSE,L. JUBA,27
JUBA HOOSE,L. JUBA,23
SHABELLE HOOSE,L. SHABELLE,23
JUBA HOOSE,L.JUBA,28
SHABELLE HOOSE,L.SHABELLE,28
JUBA HOOSE,LOWER JUBA,20
SHABELLE HOOSE,LOWER SHABELLE,20
JUBA DHEXE,MIDDLE JUBA,19
SHABELLE DHEXE,MIDDLE SHABELLE,22
NUGAAL,NUGAL,11
SANAAG,SANAG,25
SHABELLE DHEXE,SHABEELLAHA DHEXE,16
SHABELLE HOOSE,SHABEELLAHA HOOSE,24
TOGDHEER,TOG-DHEER,26
WOQOOYI GALBEED,WEST GALBEED,18
AWDAL,,14
BAKOOL,,28
BARI,,28
BAY,,28
GEDO,,23
MUDUG,,23
SOOL,,23
